Scheme Name,Eligibility,Details,Apply Link,Age,Gender,State,Occupation,Category
Vidyanjali,Government and government-aided schools,School volunteer management program,https://vidyanjali.education.gov.in/,18+,All,All India,Any,All
PM SHRI (PM Schools for Rising India),Government schools,Upgrade selected schools into exemplary schools,https://pmshri.education.gov.in/,NA,NA,All India,NA,NA
National Initiative for School Heads and Teachers Holistic Advancement,School teachers and principals,Teacher training program,https://itpd.ncert.gov.in/login,21+,All,All India,Teacher,All
Samagra Shiksha Abhiyan,School education sector,Unified program for school education,https://samagra.education.gov.in/,NA,NA,All India,NA,NA
YUVA: Prime Minister's Scheme for Mentoring Young Authors,Young authors,Mentorship program for young authors,https://yuva.gov.in/,30 and below,All,All India,Writer/Author,All
National Mission on Libraries,Library users,Develop library system and promote reading habit,https://nmlindia.nic.in/,NA,NA,All India,NA,All
National Book Trust Schemes,Readers/authors/publishers,Promote books and reading habit,https://nbtindia.gov.in/,All,All,All India,Any,All
Study in India,Foreign students,Attract foreign students to study in India,https://studyinindia.gov.in/,18+,All,International,Student,All
National Career Service,Job seekers and employers,Employment exchange portal,https://www.ncs.gov.in/,18+,All,All India,Job Seeker,All
Pradhan Mantri Wi-Fi Access Network Interface,Citizens,Public WiFi networks across the country,https://pmwani.gov.in/,All,All,All India,Any,All
BharatNet,Rural areas,Broadband connectivity to all gram panchayats,https://bbnl.nic.in/,NA,NA,Rural Areas,NA,NA
Jeevan Pramaan,Pensioners,Digital life certificate for pensioners,https://jeevanpramaan.gov.in/,Pensioners,All,All India,Pensioner,All
DigiLocker,Citizens,Online document storage platform,https://digilocker.gov.in/,18+,All,All India,Any,All
UMANG (Unified Mobile Application for New-age Governance),Citizens,Single platform for all government services,https://web.umang.gov.in/,18+,All,All India,Any,All
National Scholarship Portal,Students,Single portal for all scholarship schemes,https://scholarships.gov.in/,Varies by scheme,All,All India,Student,All
e-Hospital,Patients,Online registration and appointment for hospitals,https://ehospital.gov.in/,All,All,All India,Any,All
National Health Portal,Citizens,Health information portal,https://www.nhp.gov.in/,All,All,All India,Any,All
Pradhan Mantri Digital Health Mission,Citizens,Digital health ID and health records,https://ndhm.gov.in/,All,All,All India,Any,All
Ayushman Bharat Digital Mission,Citizens,Digital health infrastructure,https://abdm.gov.in/,All,All,All India,Any,All
Co-WIN,Citizens,COVID-19 vaccine registration portal,https://www.cowin.gov.in/,All,All,All India,Any,All
National Apprenticeship Promotion Scheme,Unemployed youth,Promote apprenticeship training,https://apprenticeshipindia.gov.in/,18+,All,All India,Unemployed,All
Skill Acquisition and Knowledge Awareness for Livelihood Promotion,Rural youth,Skill development initiative for rural youth,https://sankalp.msde.gov.in/,15-35,All,Rural Areas,Unemployed,All
Pradhan Mantri Kaushal Kendra,Unemployed youth,Skill development centers,https://pmkvy.nsdcindia.org/,15-45,All,All India,Unemployed,All
Scheme for Capacity Building in Textile Sector,Workers in textile sector,Skill development in textile sector,https://samarth.texmin.gov.in/,18+,All,All India,Textile Worker,All
Pradhan Mantri Rojgar Protsahan Yojana,New employees in formal sector,Government pays employer contribution to EPF and EPS,https://labour.gov.in/pm-rojgar-protsahan-yojana,18+,All,All India,New Employee,All
Prime Minister's Employment Generation Programme,Individuals above 18 years,Credit-linked subsidy for setting up micro enterprises,https://msme.gov.in/schemes/pm-employment-generation-program-and-other-credit-support-schemes,18+,All,All India,Entrepreneur,All
Credit Guarantee Fund Trust for Micro and Small Enterprises,Micro and small enterprises,Credit guarantee for loans to MSMEs,https://www.cgtmse.in/,18+,All,All India,MSME Owner,All
Scheme of Fund for Regeneration of Traditional Industries,Traditional artisans and micro enterprises,Promote cluster-based development of traditional industries,https://sfurti.msme.gov.in/,18+,All,All India,Artisan,All
A Scheme for Promotion of Innovation Rural Industry & Entrepreneurship,Rural entrepreneurs,Promote innovation and entrepreneurship in rural areas,https://aspire.msme.gov.in/,18+,All,Rural Areas,Entrepreneur,All
ZED (Zero Defect Zero Effect) Certification Scheme,MSMEs,Quality certification for MSMEs,https://zed.msme.gov.in/,18+,All,All India,MSME Owner,All
Solar Charkha Mission,Artisans and unemployed youth,Employment generation through solar charkhas,https://msme.gov.in/sites/default/files/SolarCharkha_Guidelines-final.pdf,18+,All,All India,Artisan/Unemployed,All
Honey Mission,Farmers and unemployed youth,Promote beekeeping as sustainable employment,https://kvic.org.in/kvicres/honey-mission,18+,All,All India,Farmer/Unemployed,All
Scheme for Promotion of MSMEs in NE Region and Sikkim,MSMEs in North East and Sikkim,Financial assistance to MSMEs in NE region,https://msme.gov.in/,18+,All,NE Region & Sikkim,MSME Owner,All
Credit Linked Capital Subsidy Scheme,MSMEs,Technology upgradation for MSMEs,https://clcss.dcmsme.gov.in/,18+,All,All India,MSME Owner,All
MSME Cluster Development Programme,MSMEs,Infrastructure development in MSME clusters,https://cluster.dcmsme.gov.in/,NA,NA,All India,NA,NA
Marketing Assistance Scheme,MSMEs,Marketing support to MSMEs,https://www.nsic.co.in/schemes/MarketingAssistance,18+,All,All India,MSME Owner,All
Lean Manufacturing Competitiveness Scheme,MSMEs,Improve manufacturing processes in MSMEs,https://lean.dcmsme.gov.in/,18+,All,All India,MSME Owner,All
Design Clinic Scheme,MSMEs,Design expertise to MSMEs,https://designclinic.dcmsme.gov.in/,18+,All,All India,MSME Owner,All
Digital MSME Scheme,MSMEs,Adoption of ICT tools by MSMEs,https://digitalmsme.gov.in/,18+,All,All India,MSME Owner,All
MSME Samadhaan,MSMEs,Delayed payment monitoring system for MSMEs,https://samadhaan.msme.gov.in/,18+,All,All India,MSME Owner,All
Udyam Registration,MSMEs,Registration portal for MSMEs,https://udyamregistration.gov.in/,18+,All,All India,MSME Owner,All
GEM (Government e-Marketplace),Sellers and service providers to government,Online marketplace for government procurement,https://gem.gov.in/,18+,All,All India,Vendor,All
Atal Innovation Mission,Students and entrepreneurs,Promote innovation and entrepreneurship,https://aim.gov.in/,All,All,All India,Student/Entrepreneur,All
Pradhan Mantri Garib Kalyan Anna Yojana,NFSA beneficiaries,Free foodgrains to poor families,https://pmgkay.in/,All,All,All India,Any,BPL
Annapurna Scheme,Senior citizens without regular income,Free food grains to destitute senior citizens,https://nsap.nic.in/,65+,All,All India,Senior Citizen,BPL
NTR Bharosa,Senior citizens/widows/disabled,Pension scheme for vulnerable sections,https://gramawardsachivalayam.ap.gov.in/,60+ (elderly)/18+ (disabled)/widows,All,Andhra Pradesh,Any,All
Amma Vodi,Mothers with school-going children,Financial assistance of Rs. 15,000 per annum to mothers for children's education,https://ammavodi.ap.gov.in/,NA,Andhra Pradesh,Female,Any
YSR Cheyutha,Women aged 45-60 from SC/ST/BC/Minority communities,Financial assistance of Rs. 75,000 over four years,https://ysrcheyutha.ap.gov.in/,45-60,Andhra Pradesh,Female,Any
YSR Asara,Women Self Help Groups,Loan waiver for women SHGs,https://apserp.ap.gov.in/,18+,Female,Andhra Pradesh,Any,All
YSR Rythu Bharosa,Farmers,Financial assistance to farmer families,https://services.india.gov.in/service/detail/ysr-raithu-bharosa-new-farmer-registration-andhra-pradesh-1,18+,All,Andhra Pradesh,Farmer,All
Orunodoi Scheme,Low-income households,Monthly financial assistance of Rs. 1,0,https://orunodoi.assam.gov.in/,18+,Assam,All,Any
Arundhati Gold Scheme,Newly married couples,Financial assistance for purchasing gold for marriage,https://wptbc.assam.gov.in/schemes-arundhati,18+,Female,Assam,Any,All
Pragyan Bharati Scheme,College students,Financial assistance for textbooks,https://directorateofhighereducation.assam.gov.in/,18+,All,Assam,Student,All
Chief Minister's Special Scheme for Empowerment of Tea Tribes,Tea tribe communities,Development schemes for tea garden workers,https://ttwd.assam.gov.in/schemes,18+,All,Assam,Tea Garden Worker,Tea Tribes
Re-SVAYEM (Swami Vivekananda Assam Youth Empowerment),Unemployed youth,Self-employment opportunities for youth,https://industries.assam.gov.in/,18-35,All,Assam,Unemployed,All
Mukhyamantri Kanya Utthan Yojana,Girl child,Financial assistance for girl child from birth to graduation,https://www.wcd.bih.nic.in/,0-21,Female,Bihar,NA,All
Mukhyamantri Vridhajan Pension Yojana,Senior citizens,Pension scheme for elderly who are not covered under other schemes,https://www.myscheme.gov.in/schemes/mvpy-bihar,60+,All,Bihar,Any,All
Mukhyamantri Gram Parivahan Yojana,Rural youth,Financial assistance to purchase commercial vehicles for rural transport,https://state.bihar.gov.in/transport/,18-45,All,Bihar,Unemployed,All
Kushal Yuva Program,Youth aged 15-28,Skill development program for youth,https://skillmissionbihar.org/kushal-yuva-program,15-28,All,Bihar,Unemployed,All
Mukhyamantri Gramin Awas Yojana,Rural homeless/poor,Housing scheme for rural poor,https://rdd.bihar.gov.in/,18+,All,Bihar,Any,All
Mukhyamantri Kanya Vivah Yojana,Girls from poor families for marriage,Financial assistance for marriage expenses,https://women-child.cg.gov.in/,18+,Female,Chhattisgarh,Any,All
Swami Atmanand English Medium School Scheme,School students,English medium education in government schools,https://education.cg.gov.in/,May-18,All,Chhattisgarh,Student,All
Godhan Nyay Yojana,Cattle owners/rural households,Purchase of cow dung from cattle owners for vermicompost,https://godhannyay.cg.gov.in/,18+,All,Chhattisgarh,Farmer/Cattle Owner,All
Rajiv Gandhi Kisan Nyay Yojana,Farmers,Financial assistance to farmers for crop production,https://agridept.cg.gov.in/,18+,All,Chhattisgarh,Farmer,All
Rajiv Gandhi Grameen Bhumihin Krishi Mazdoor Nyay Yojana,Landless agricultural laborers,Financial assistance to landless agricultural laborers,https://agridept.cg.gov.in/,18+,All,Chhattisgarh,Agricultural Laborer,All
Jai Bhim Mukhyamantri Pratibha Vikas Yojana,SC/ST/OBC/EWS students,Free coaching for competitive exams,https://scstwelfare.delhigovt.nic.in/,17-30,All,Delhi,Student,SC/ST/OBC/EWS
Ladli Scheme,Girl child,Financial assistance for girl child education,https://wcd.delhi.gov.in/schemes/ladli,0-18,Female,Delhi,NA,All
Delhi Pension Scheme to Women in Distress,Women in distress,Monthly pension to women in distress,https://socialwelfare.delhi.gov.in/,18+,Female,Delhi,Any,All
Chief Minister's Urban Leaders Fellowship Program,Young professionals,Fellowship program for governance reforms,https://cmulf.delhi.gov.in/,21-35,All,Delhi,Professional,All
Business Blasters Program,School students,Seed money for student entrepreneurship projects,https://businessblasters.delhi.gov.in/,16-18,All,Delhi,Student,All
Goa Scholarship Scheme,Students pursuing higher education,Scholarship for higher education,https://www.dhegoa.gov.in/,18+,All,Goa,Student,All
Ladli Laxmi Scheme,Women for marriage,Financial assistance of Rs. 2 lakh for marriage,https://www.womenchild.goa.gov.in/schemes/ladli-laxmi-scheme/,18+,Female,Goa,Any,All
Griha Aadhar Scheme,Homemakers with annual family income below Rs. 3 lakh,Monthly financial assistance to homemakers,https://www.womenchild.goa.gov.in/schemes/griha-aadhar-scheme/,18+,Female,Goa,Homemaker,All
DSY (Dayanand Social Security) Scheme,Senior citizens/widows/disabled/HIV affected,Monthly pension to vulnerable sections,https://www.socialsecurity.goa.gov.in/,60+ (elderly)/18+ (disabled),All,Goa,Any,All
Debt Relief Scheme for Farmers,Farmers with loans,Loan waiver scheme for farmers,https://www.agri.goa.gov.in/,18+,All,Goa,Farmer,All
Mukhyamantri Amrutam Yojana,BPL families,Health insurance coverage of Rs. 5 lakh,https://magujarat.com/,All,All,Gujarat,Any,BPL
Vidya Sadhana Yojana,Girl students,Free education for girls,https://education.gujarat.gov.in/,Jun-18,Female,Gujarat,Student,All
Mukhyamantri Yuva Swavalamban Yojana,Students,Financial assistance for education,https://mysy.guj.nic.in/,18+,All,Gujarat,Student,All
Mukhyamantri Apprenticeship Scheme,Youth seeking apprenticeship,Financial assistance during apprenticeship,https://labour.gujarat.gov.in/,18-35,All,Gujarat,Apprentice,All
Sujalam Sufalam Jal Abhiyan,Communities in water scarce areas,Water conservation scheme,https://guj-nwrws.gujarat.gov.in/,NA,NA,Gujarat,NA,NA
Ladli Scheme,Girl child,Financial assistance to girl child,https://wcdharyana.gov.in/,0-18,Female,Haryana,NA,All
Mukhyamantri Vivah Shagun Yojana,Girls from poor families for marriage,Financial assistance for marriage expenses,https://socialjusticehry.gov.in/schemes/mukhya-mantri-vivah-shagun-yojana,18+,Female,Haryana,Any,All
Chirayu Haryana,All residents,Universal health coverage,https://chirayu.haryana.gov.in/,All,All,Haryana,Any,All
Skill Development Mission,Youth,Skill training and employment linkage,https://hsdm.org.in/,18-35,All,Haryana,Unemployed,All
Saksham Yuva Scheme,Educated unemployed youth,Unemployment allowance and skill training,https://sakshamyuva.hrex.gov.in/,18-35,All,Haryana,Educated Unemployed,All
Mukhyamantri Grihini Suvidha Yojana,Households without LPG connection,Free gas connections to households,https://hpmsss.in/,18+,All,Himachal Pradesh,Any,All
Himachal Grihini Suraksha Yojana,Women,Social security for homemakers,https://socialjustice.hp.gov.in/,18+,Female,Himachal Pradesh,Homemaker,All
Him Care Scheme,Families not covered under Ayushman Bharat,Health insurance coverage of Rs. 5 lakh,https://himcare.hp.gov.in/,All,All,Himachal Pradesh,Any,All
Mukhyamantri Swavlamban Yojana,Youth entrepreneurs,Subsidy for industrial enterprises,https://emerginghimachal.hp.gov.in/,18-45,All,Himachal Pradesh,Entrepreneur,All
Mukhya Mantri Shagun Yojana,Girls from BPL families for marriage,Financial assistance for marriage expenses,https://socialjustice.hp.gov.in/,18+,Female,Himachal Pradesh,Any,BPL
Mukhyamantri Kanya Ashirwad Yojana,Girl child,Financial assistance to girl child,https://jkgib.nic.in/cm_schemes.aspx,0-18,Female,Jharkhand,NA,All
Mukhyamantri Sukanya Yojana,Girl child,Financial assistance to girl child,https://wcdj.jharkhand.gov.in/,0-18,Female,Jharkhand,NA,All
Mukhyamantri Krishi Ashirwad Yojana,Farmers with land up to 5 acres,Direct cash transfer to small and marginal farmers,https://pmkisanjharkhand.jharkhand.gov.in/,18+,All,Jharkhand,Farmer,All
Mukhyamantri Mantri Cycle Yojana,School students,Free bicycles to students,https://scholarships.jharkhand.gov.in/,14-18,All,Jharkhand,Student,All
Jharkhand State Livelihood Promotion Society,Rural women,Women's self-help groups for livelihood promotion,https://jslps.org/,18+,Female,Jharkhand,Any,All
Vidya Lakshmi Scheme,Girl students from BPL families,Financial assistance for education,https://ssp.karnataka.gov.in/,Jun-18,Female,Karnataka,Student,BPL
Sandhya Suraksha Yojana,Senior citizens not covered under other schemes,Monthly pension to elderly,https://services.india.gov.in/service/detail/sandhya-suraksha-yojane,65+,All,Karnataka,Any,All
Bhagyalakshmi Scheme,Girl child from BPL families,Insurance bond for girl child,https://wcd.karnataka.gov.in/,0-18,Female,Karnataka,NA,BPL
Mukhyamantri Anila Bhagya Yojana,BPL households without LPG connection,Free LPG connection and two refills,https://secc.karnataka.gov.in/,18+,All,Karnataka,Any,BPL
Yashasvini Health Insurance Scheme,Farmers/rural population,Cooperative health insurance scheme,https://www.karnataka.gov.in/,All,All,Karnataka,Farmer/Rural Worker,All
We Care Scheme,Differently-abled persons,Comprehensive disability support,https://swd.kerala.gov.in/,All,All,Kerala,Any,Differently-abled
Karunya Health Insurance Scheme,BPL families,Health insurance coverage,https://finance.kerala.gov.in/,All,All,Kerala,Any,BPL
Snehapoorvam Scheme,Children who lost parents/from vulnerable backgrounds,Educational assistance,https://snehapoorvam.kerala.gov.in/,Jun-18,All,Kerala,Student,Orphaned/Vulnerable
Grihasree Housing Scheme,Homeless/landless,Housing scheme for poor,https://lsgkerala.gov.in/,18+,All,Kerala,Any,Homeless/Landless
Startup Mission,Entrepreneurs,Support for technology startups,https://startupmission.kerala.gov.in/,18+,All,Kerala,Entrepreneur,All
Ladli Laxmi Yojana,Girl child,Financial assistance for girl child education,https://ladlilaxmi.mp.gov.in/,0-21,Female,Madhya Pradesh,NA,All
Mukhyamantri Kanya Vivah Yojana,Girls from poor families for marriage,Financial assistance for marriage expenses,https://socialwelfare.mp.gov.in/,18+,Female,Madhya Pradesh,Any,All
Sambal Yojana,Unorganized sector workers,Social security for unorganized sector workers,https://shramik.mp.gov.in/sambal.htm,18+,All,Madhya Pradesh,Unorganized Sector,All
Mukhyamantri Yuva Swabhiman Yojana,Unemployed urban youth,Employment guarantee scheme for urban youth,https://mponline.gov.in/,18-29,All,Madhya Pradesh,Unemployed Urban Youth,All
Mukhyamantri Solar Pump Yojana,Farmers,Subsidized solar pumps for irrigation,https://mprenew.gov.in/,18+,All,Madhya Pradesh,Farmer,All
Manodhairya Scheme,Women and child victims of crime,Financial assistance and rehabilitation for victims of crime,https://womenchild.maharashtra.gov.in/,All,Female/Children,Maharashtra,NA,All
Shiv Bhojan Scheme,Low-income people,Subsidized meals at Rs. 10,https://mahafood.gov.in/,All,All,Maharashtra,Any,All
Mahatma Jyotirao Phule Jan Arogya Yojana,Families with annual income below Rs. 1.5 lakh,Health insurance coverage of Rs. 1.5 lakh,https://www.jeevandayee.gov.in/,All,All,Maharashtra,Any,Low Income
Chief Minister's Employment Generation Programme,Entrepreneurs,Subsidy for micro/small enterprises,https://www.myscheme.gov.in/schemes/cmegp,18-45,All,Maharashtra,Entrepreneur,All
Sanjay Gandhi Niradhar Anudan Yojana,Destitute persons,Financial assistance to destitute persons,https://socialjustice.maharashtra.gov.in/,18-65,All,Maharashtra,Any,Destitute
Chief Minister's Hakshel for All,School students,Interest-free educational loans,https://manipureducation.gov.in/,14-18,All,Manipur,Student,All
Manipur Startup Scheme,Entrepreneurs,Financial assistance for startups,https://startupmanipur.in/,18+,All,Manipur,Entrepreneur,All
Chief Minister's Health for All,All residents,Universal health coverage,https://manipur.gov.in/,All,All,Manipur,Any,All
Chief Minister's Widow Pension Scheme,Widows,Monthly pension to widows,https://manipur.gov.in/welfare/,18+,Female,Manipur,Any,Widows
Chief Minister's COVID-19 Affected Livelihood Support Scheme,Families affected by COVID-19,Financial assistance to families affected by COVID-19,https://manipur.gov.in/,18+,All,Manipur,Any,COVID-19 affected
Meghalaya Health Insurance Scheme,All residents,Health insurance coverage,https://meghealth.gov.in/,All,All,Meghalaya,Any,All
Chief Minister's Youth Development Scheme,Youth,Skill development and entrepreneurship support,https://megsports.gov.in/,18-35,All,Meghalaya,Any,All
Aquaculture Mission,Fish farmers,Development of fish farming,https://megfisheries.gov.in/,18+,All,Meghalaya,Fish Farmer,All
Muga Mission,Silk farmers,Development of muga silk production,https://sericulture.meghalaya.gov.in/,18+,All,Meghalaya,Silk Farmer,All
Chief Minister's Rural Development Program,Rural communities,Infrastructure development in rural areas,https://megcnrd.gov.in/,NA,NA,Meghalaya,NA,NA
New Land Use Policy,Rural families,Land-based sustainable livelihood,https://rural.mizoram.gov.in/,18+,All,Mizoram,Rural Worker,All
Socio-Economic Development Policy,All sectors,Comprehensive development policy,https://planning.mizoram.gov.in/,NA,NA,Mizoram,NA,NA
Healthcare Scheme,All residents,Universal healthcare coverage,https://health.mizoram.gov.in/,All,All,Mizoram,Any,All
Mizoram Youth Commission Schemes,Youth,Skill development and employment for youth,https://myc.mizoram.gov.in/,15-35,All,Mizoram,Youth,All
Dulloo Project,Farmers,Agricultural development project,https://agriculture.mizoram.gov.in/,18+,All,Mizoram,Farmer,All
Chief Minister's Corpus Fund Scheme,Entrepreneurs,Financial assistance for micro enterprises,https://industries.nagaland.gov.in/,18+,All,Nagaland,Entrepreneur,All
Chief Minister's Health Insurance Scheme,All residents,Health insurance coverage,https://health.nagaland.gov.in/,All,All,Nagaland,Any,All
Nagaland Job Creation Program,Unemployed youth,Employment generation initiative,https://labour.nagaland.gov.in/,18-35,All,Nagaland,Unemployed,All
Farmers' Welfare Program,Farmers,Agricultural development scheme,https://agriculture.nagaland.gov.in/,18+,All,Nagaland,Farmer,All
Entrepreneurs Associates Program,Youth entrepreneurs,Support for young entrepreneurs,https://industries.nagaland.gov.in/,18-40,All,Nagaland,Entrepreneur,All
Biju Swasthya Kalyan Yojana,All residents,Universal healthcare coverage,https://health.odisha.gov.in/,All,All,Odisha,Any,All
KALIA (Krushak Assistance for Livelihood and Income Augmentation),Farmers,Financial assistance to farmers,https://kalia.odisha.gov.in/,18+,All,Odisha,Farmer,All
Mamata Scheme,Pregnant and lactating mothers,Conditional cash transfer to pregnant and lactating mothers,https://wcdodisha.gov.in/,19-45,Female,Odisha,Any,All
Biju Pucca Ghar Yojana,Rural homeless,Housing scheme for rural homeless,https://ruralodisha.gov.in/,18+,All,Odisha,Any,Rural Homeless
Mission Shakti,Rural women,Women self-help groups for livelihood,https://missionsakthi.odisha.gov.in/,18+,Female,Odisha,Any,All
Mai Bhago Vidya Scheme,School girls,Free education for girls up to PhD level,https://educationrecruitmentboard.com/,May-25,Female,Punjab,Student,All
Ashirwad Scheme,SC/BC girls for marriage,Financial assistance for marriage expenses,https://sswcd.punjab.gov.in/en/schemes,18+,Female,Punjab,Any,SC/BC
Basera Scheme,Urban homeless,Housing scheme for urban homeless,https://pb.gov.in/,18+,All,Punjab,Any,Urban Homeless
Ghar Ghar Rozgar Yojana,Unemployed youth,Employment generation program,https://ghargharrozgar.punjab.gov.in/,18-35,All,Punjab,Unemployed,All
Smart Village Campaign,Rural communities,Rural infrastructure development,https://prbdb.gov.in/,NA,NA,Punjab,NA,NA
Mukhyamantri Chiranjeevi Swasthya Bima Yojana,All residents,Universal health insurance,https://chiranjeevi.rajasthan.gov.in/,All,All,Rajasthan,Any,All
Indira Gandhi Urban Credit Card Scheme,Urban street vendors,Interest-free loans to street vendors,https://lsg.urban.rajasthan.gov.in/,18+,All,Rajasthan,Street Vendor,All
Rajasthan Rural Livelihood Project,Rural women,Livelihood promotion for rural women,https://rajeevika.rajasthan.gov.in/,18+,Female,Rajasthan,Any,Rural
Mukhyamantri Kisan Saathi Yojana,Farmers,Electricity subsidy for farmers,https://energy.rajasthan.gov.in/,18+,All,Rajasthan,Farmer,All
Mukhyamantri Free Medicine Scheme,All residents,Free essential medicines,https://health.rajasthan.gov.in/,All,All,Rajasthan,Any,All
Sikkim Garib Awas Yojana,Rural poor,Housing scheme for rural poor,https://sikkim.gov.in/,18+,All,Sikkim,Any,Rural Poor
Chief Minister's Comprehensive Annual and Total Checkup for Healthy Sikkim,All residents,Preventive healthcare initiative,https://sikkim.gov.in/,All,All,Sikkim,Any,All
Sikkim Organic Mission,Farmers,Promotion of organic farming,https://sikkim.gov.in/departments/sikkim-organic-mission,18+,All,Sikkim,Farmer,All
Mukhya Mantri Krishi Samman Yojana,Farmers,Financial assistance to farmers,https://sikkim.gov.in/,18+,All,Sikkim,Farmer,All
Proud Mother Scheme,Pregnant women,Financial assistance to pregnant women,https://sikkim.gov.in/,19-45,Female,Sikkim,Any,All
Pudhumai Penn Scheme,Girl students,Financial assistance for higher education of girls,https://pudhupenn.tnschools.gov.in/,18+,Female,Tamil Nadu,Student,All
Dr. Muthulakshmi Reddy Maternity Benefit Scheme,Pregnant women,Maternity benefit scheme,https://tnhealth.tn.gov.in/,19-45,Female,Tamil Nadu,Any,All
Illam Thedi Kalvi Scheme,School students,Supplementary education at doorstep,https://illamthedikalvi.tnschools.gov.in/,May-18,All,Tamil Nadu,Student,All
Tamilnadu Urban Employment Scheme,Urban poor,Urban employment guarantee scheme,https://tnulm.tn.gov.in/,18+,All,Tamil Nadu,Urban Poor,All
Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme,Girl students,Financial assistance for higher education,https://moovalur.tnscholarships.gov.in/,18+,Female,Tamil Nadu,Student,All
Rythu Bandhu,Farmers,Financial assistance to farmers,https://gadwal.telangana.gov.in/scheme/rythu-bandhu-scheme/,18+,All,Telangana,Farmer,All
Rythu Bima,Farmers,Life insurance scheme for farmers,https://agriculture.telangana.gov.in/rythu_bima.aspx,18-60,All,Telangana,Farmer,All
Kalyana Lakshmi/Shaadi Mubarak,Girls from poor families for marriage,Financial assistance for marriage expenses,https://wdsc.telangana.gov.in/,18+,Female,Telangana,Any,SC/ST/BC/Minorities/EBC
Asara Pensions,Senior citizens/widows/disabled/HIV affected,Pension scheme for vulnerable sections,https://tgsocialwelfare.telangana.gov.in/,57+ (elderly)/18+ (disabled),All,Telangana,Any,All
KCR Kit,Pregnant women delivering in government hospitals,Maternity benefit scheme,https://tgwdcw.telangana.gov.in/,19-45,Female,Telangana,Any,All
Tripura Urban Employment Scheme,Urban unemployed,Employment guarantee scheme for urban areas,https://tripura.gov.in/,18+,All,Tripura,Urban Unemployed,All
Rabi Krishi Yojana,Farmers,Agricultural development scheme,https://tripura.gov.in/,18+,All,Tripura,Farmer,All
Tripura State Health Assurance Scheme,All residents,Health insurance coverage,https://tripura.gov.in/,All,All,Tripura,Any,All
Nutan Disha,School education,Comprehensive education reform,https://tripura.gov.in/,May-18,All,Tripura,Student,All
Social Security Pension Scheme,Senior citizens/widows/disabled,Pension scheme for vulnerable sections,https://tripura.gov.in/,60+ (elderly)/18+ (disabled)/widows,All,Tripura,Any,All
Kanya Sumangala Yojana,Girl child,Financial assistance to girl child from birth to graduation,https://ksyojana.up.gov.in/,0-21,Female,Uttar Pradesh,NA,All
Chief Minister Youth Self Employment Scheme,Unemployed youth,Self-employment scheme for youth,https://www.myscheme.gov.in/schemes/mysyc,18-40,All,Uttar Pradesh,Unemployed,All
Mukhyamantri Kanya Vivah Anudan Yojana,Girls from poor families for marriage,Financial assistance for marriage expenses,https://scdd.up.gov.in/,18+,Female,Uttar Pradesh,Any,All
UP Skill Development Mission,Youth,Skill development initiative,https://upsdm.gov.in/,15-35,All,Uttar Pradesh,Unemployed,All
Mukhyamantri Krishak Durghatna Kalyan Yojana,Farmers,Accident insurance for farmers,https://upagripardarshi.gov.in/,18+,All,Uttar Pradesh,Farmer,All
Nanda Gaura Devi Kanya Dhan Yojana,Girl child from BPL families,Financial assistance to girl child,https://uttarakhandsocialwelfare.uk.gov.in/,0-18,Female,Uttarakhand,NA,BPL
Vatsalya Yojana,Women self-help groups,Financial assistance to women self-help groups,https://uttarakhandlh.uk.gov.in/,18+,Female,Uttarakhand,Any,All
Deendayal Upadhyaya Sahkarita Kisan Kalyan Yojana,Farmers,Agricultural development scheme,https://uttarakhandagriculture.in/,18+,All,Uttarakhand,Farmer,All
Mukhyamantri Swarojgar Yojana,Unemployed youth,Self-employment scheme for youth,"https://cmyuva.iid.org.in/home#:~:text=%E0%A4%AF%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE%20%E0%A4%95%E0%A5%80%20%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF%20%E0%A4%AC%E0%A4%BE%E0%A4%A4%E0%A5%87%E0%A4%82,%E0%A4%B8%E0%A5%87%20%E0%A4%95%E0%A5%8C%E0%A4%B6%E0%A4%B2%20%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B6%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%A3%20%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%BE%E0%A4%A3%20%E0%A4%AA%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%A4",18-40,All,Uttarakhand,Unemployed,All
Atal Ayushman Uttarakhand Yojana,All residents,Universal health coverage,https://ayushmanuttarakhand.org/,All,All,Uttarakhand,Any,All
Kanyashree Prakalpa,Girl students,Financial assistance for education of girls,https://wbkanyashree.gov.in/,13-19,Female,West Bengal,Student,All
Rupashree Prakalpa,Girls from poor families for marriage,Financial assistance for marriage expenses,https://wb.gov.in/portal/web/guest/rupashree,18+,Female,West Bengal,Any,All
Lakshmir Bhandar,Women aged 25-60,Monthly financial assistance to women,https://socialsecurity.wb.gov.in/login,25-60,Female,West Bengal,Any,All
Swasthya Sathi,All residents,Universal health coverage,https://swasthyasathi.gov.in/,All,All,West Bengal,Any,All
Krishak Bandhu,Farmers,Financial assistance to farmers,https://krishakbandhu.net/,18+,All,West Bengal,Farmer,All
